ticker,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2022-01-19,42.0,38.0,,,,UP,1
2022-01-20,45.0,40.95,,,,DOWN,0
2022-01-21,45.0,43.0,,,,DOWN,0
2022-01-24,42.8,44.92,,,,DOWN,0
2022-01-25,41.8975,42.5,43.3395,,,UP,1
2022-01-26,43.22,45.01,43.5835,,,UP,1
2022-01-27,45.76,47.26,43.7355,,,UP,1
2022-01-28,46.75,44.55,44.0855,,,UP,1
2022-01-31,48.0,46.0,45.1255,,,UP,1
2022-02-01,49.78,47.5,46.702,,,UP,1
2022-02-02,53.01,50.0348,48.66,,,UP,1
2022-02-03,53.62,52.19,50.232,,,DOWN,0
2022-02-04,50.14,52.6,50.91,,,DOWN,0
2022-02-07,46.07,50.0,50.524,,,DOWN,0
2022-02-08,45.5,45.13,49.668,,,UP,1
2022-02-09,47.31,44.75,48.528,,,DOWN,0
2022-02-10,47.05,45.51,47.214,,,UP,1
2022-02-11,48.09,46.76,46.804,,,UP,1
2022-02-14,48.11,48.19,47.212,,,DOWN,0
2022-02-15,48.0,47.7,47.712,,,DOWN,0
2022-02-16,47.2,47.72,47.69,,,DOWN,0
2022-02-17,45.29,46.32,47.338,,,UP,1
2022-02-18,45.41,45.15,46.802,,,DOWN,0
2022-02-22,43.54,45.41,45.888,,,DOWN,0
2022-02-23,43.09,43.69,44.906,,,UP,1
2022-02-24,44.32,43.15,44.33,,,DOWN,0
2022-02-25,43.91,44.3,44.054,,,UP,1
2022-02-28,45.98,43.3,44.168,,,UP,1
2022-03-01,47.79,45.62,45.018,,,UP,1
2022-03-02,49.46,48.0,46.292,,,UP,1
2022-03-03,49.52,49.82,47.332,,,UP,1
2022-03-04,51.0,49.17,48.75,,,UP,1
2022-03-07,51.65,51.06,49.884,,,UP,1
2022-03-08,52.32,51.18,50.79,,,DOWN,0
2022-03-09,51.33,52.44,51.164,,,DOWN,0
2022-03-10,51.32,50.57,51.524,,,DOWN,0
2022-03-11,49.32,51.42,51.188,,,UP,1
2022-03-14,50.95,51.86,51.048,,,UP,1
2022-03-15,51.29,51.34,50.842,,,UP,1
2022-03-16,51.77,51.71,50.93,,,DOWN,0
2022-03-17,50.99,51.88,50.864,,,DOWN,0
2022-03-18,49.01,50.65,50.802,,,UP,1
2022-03-21,49.22,48.91,50.456,,,UP,1
2022-03-22,51.14,50.35,50.426,,,DOWN,0
2022-03-23,50.99,50.7,50.27,,,UP,1
2022-03-24,52.41,51.18,50.554,,,UP,1
2022-03-25,53.8,52.24,51.512,,,UP,1
2022-03-28,56.78,54.38,53.024,,,DOWN,0
2022-03-29,56.33,57.0,54.062,,,UP,1
2022-03-30,57.5,56.17,55.364,48.6347,,DOWN,0
2022-03-31,56.25,58.34,56.132,48.9197,,UP,1
2022-04-01,58.02,56.36,56.976,49.1802,,UP,1
2022-04-04,58.38,58.36,57.296,49.4478,,UP,1
2022-04-05,59.0,58.65,57.83,49.7717,,UP,1
2022-04-06,59.6,58.9,58.25,50.1258,,UP,1
2022-04-07,60.91,59.76,59.182,50.4796,,UP,1
2022-04-08,64.02,61.22,60.382,50.8448,,DOWN,0
2022-04-11,60.68,64.18,60.842,51.1234,,UP,1
2022-04-12,61.87,61.0,61.416,51.4008,,UP,1
2022-04-13,64.2,62.04,62.336,51.6892,,DOWN,0
2022-04-14,62.55,64.12,62.664,51.88,,UP,1
2022-04-18,63.31,62.29,62.522,52.0738,,UP,1
2022-04-19,66.71,63.63,63.728,52.4052,,DOWN,0
2022-04-20,65.41,67.82,64.436,52.792,,DOWN,0
2022-04-21,62.67,65.0,64.13,53.1354,,DOWN,0
2022-04-22,62.43,62.5,64.106,53.4378,,DOWN,0
2022-04-25,62.27,62.36,63.898,53.7422,,DOWN,0
2022-04-26,59.95,61.8,62.546,53.9794,,UP,1
2022-04-27,60.09,60.01,61.482,54.219,,UP,1
2022-04-28,61.31,60.22,61.21,54.4852,,DOWN,0
2022-04-29,59.21,61.5,60.566,54.7254,,DOWN,0
2022-05-02,58.2,59.3,59.752,54.9836,,UP,1
2022-05-03,59.7,58.45,59.702,55.2694,,UP,1
2022-05-04,61.81,60.12,60.046,55.6348,,DOWN,0
2022-05-05,60.16,61.22,59.816,55.9762,,UP,1
2022-05-06,60.27,60.26,60.028,56.2952,,DOWN,0
2022-05-09,57.62,60.57,59.912,56.5694,,DOWN,0
2022-05-10,57.04,58.25,59.38,56.7906,,UP,1
2022-05-11,57.37,57.11,58.492,56.9822,,DOWN,0
2022-05-12,53.47,57.31,57.154,57.0624,,UP,1
2022-05-13,54.61,54.53,56.022,57.1642,,UP,1
2022-05-16,56.59,54.42,55.816,57.276,,UP,1
2022-05-17,59.32,56.85,56.272,57.4294,,DOWN,0
2022-05-18,57.28,59.42,56.254,57.5286,,DOWN,0
2022-05-19,57.23,57.13,57.006,57.6466,,DOWN,0
2022-05-20,56.65,57.51,57.414,57.7532,,DOWN,0
2022-05-23,56.6,57.5,57.416,57.8988,,UP,1
2022-05-24,56.78,56.55,56.908,58.0154,,UP,1
2022-05-25,59.17,56.88,57.286,58.173,,UP,1
2022-05-26,62.47,59.18,58.334,58.387,,UP,1
2022-05-27,66.6,62.4,60.324,58.6992,,DOWN,0
2022-05-31,62.08,65.54,61.42,58.9606,,UP,1
2022-06-01,63.65,62.38,62.794,59.2492,,UP,1
2022-06-02,63.75,63.69,63.71,59.5014,,UP,1
2022-06-03,65.17,63.26,64.25,59.785,,UP,1
2022-06-06,66.39,65.57,64.208,60.0646,,UP,1
2022-06-07,66.55,65.52,65.102,60.3196,,DOWN,0
2022-06-08,64.77,66.44,65.326,60.4794,,DOWN,0
2022-06-09,61.21,64.26,64.818,60.577,,DOWN,0
2022-06-10,59.79,59.85,63.742,60.6228,,DOWN,0
2022-06-13,55.48,58.27,61.56,60.6074,,DOWN,0
2022-06-14,54.44,56.03,59.138,60.5358,,UP,1
2022-06-15,58.2,55.7,57.824,60.5322,,UP,1
2022-06-16,58.26,56.33,57.234,60.5174,,DOWN,0
2022-06-17,58.1,58.55,56.896,60.4874,,UP,1
2022-06-21,60.38,58.1,57.876,60.4768,,DOWN,0
2022-06-22,59.21,59.28,58.83,60.3806,,DOWN,0
2022-06-23,58.65,59.88,58.92,60.34,,UP,1
2022-06-24,59.28,58.84,59.124,60.2882,,UP,1
2022-06-27,59.42,59.12,59.388,60.1926,,DOWN,0
2022-06-28,58.08,59.84,58.928,60.1032,,DOWN,0
2022-06-29,57.31,57.96,58.548,59.9832,,DOWN,0
2022-06-30,57.26,56.9,58.27,59.7942,,UP,1
2022-07-01,57.6,56.72,57.934,59.638,,DOWN,0
2022-07-05,54.94,57.15,57.038,59.4834,,UP,1
2022-07-06,56.76,55.13,56.774,59.37,,UP,1
2022-07-07,59.11,57.57,57.134,59.3068,,UP,1
2022-07-08,59.65,58.94,57.612,59.3008,,UP,1
2022-07-11,59.84,59.65,58.06,59.2958,,DOWN,0
2022-07-12,59.23,59.41,58.918,59.2542,,UP,1
2022-07-13,59.82,58.15,59.53,59.2664,,DOWN,0
2022-07-14,57.92,58.29,59.292,59.2608,,DOWN,0
2022-07-15,55.66,54.96,58.494,59.18,,DOWN,0
2022-07-18,54.81,56.33,57.488,59.04,,UP,1
2022-07-19,55.0,55.44,56.642,58.9368,,DOWN,0
2022-07-20,54.07,55.16,55.492,58.8128,,UP,1
2022-07-21,54.16,53.86,54.74,58.7436,,DOWN,0
2022-07-22,54.0,54.79,54.408,58.6828,,UP,1
2022-07-25,54.96,53.98,54.438,58.6346,,UP,1
2022-07-26,55.5,55.4,54.538,58.6752,,UP,1
2022-07-27,55.53,55.03,54.83,58.6936,,UP,1
2022-07-28,64.59,62.58,56.916,58.8536,,UP,1
2022-07-29,66.1,63.85,59.336,58.9892,,DOWN,0
2022-08-01,65.3,66.05,61.404,59.1496,,UP,1
2022-08-02,65.84,65.3,63.472,59.3218,,UP,1
2022-08-03,67.17,66.63,65.8,59.5322,,UP,1
2022-08-04,67.46,65.51,66.374,59.7494,,UP,1
2022-08-05,74.3,69.76,68.014,60.0998,,UP,1
2022-08-08,75.89,77.01,70.132,60.4342,,DOWN,0
2022-08-09,75.72,75.75,72.108,60.6992,,UP,1
2022-08-10,77.12,76.05,74.098,60.9096,,UP,1
2022-08-11,78.83,77.12,76.372,61.2446,,UP,1
2022-08-12,81.5,79.65,77.812,61.6016,,DOWN,0
2022-08-15,81.2,80.25,78.874,61.9506,,UP,1
2022-08-16,81.4,81.1,80.01,62.2752,,DOWN,0
2022-08-17,79.7,80.42,80.526,62.5414,,UP,1
2022-08-18,81.6,79.42,81.08,62.8424,,DOWN,0
2022-08-19,80.84,80.31,80.948,63.1638,,DOWN,0
2022-08-22,79.65,80.75,80.638,63.5326,,UP,1
2022-08-23,79.75,80.27,80.308,63.9318,,UP,1
2022-08-24,80.37,79.66,80.442,64.4296,,UP,1
2022-08-25,82.74,80.01,80.67,64.9956,,DOWN,0
2022-08-26,80.83,82.74,80.668,65.4482,,UP,1
2022-08-29,81.0,79.65,80.938,65.903,,DOWN,0
2022-08-30,79.69,81.58,80.926,66.3348,,UP,1
2022-08-31,81.59,80.26,81.17,66.759,,UP,1
2022-09-01,82.52,81.59,81.126,67.2252,,DOWN,0
2022-09-02,81.07,82.58,81.174,67.6736,,UP,1
2022-09-06,82.26,81.7,81.426,68.1332,,UP,1
2022-09-07,82.9,82.6,82.068,68.6028,,UP,1
2022-09-08,85.79,82.87,82.908,69.157,,UP,1
2022-09-09,87.51,86.5,83.906,69.761,,UP,1
2022-09-12,88.13,88.56,85.318,70.3784,,DOWN,0
2022-09-13,86.38,86.9,86.142,70.954,,UP,1
2022-09-14,88.05,86.38,87.172,71.6162,,DOWN,0
2022-09-15,86.8,87.88,87.374,72.217,,DOWN,0
2022-09-16,85.57,86.61,86.986,72.7462,,UP,1
2022-09-19,89.36,85.4,87.232,73.3404,,DOWN,0
2022-09-20,87.75,88.41,87.506,73.8986,,DOWN,0
2022-09-21,87.28,88.79,87.352,74.4596,,DOWN,0
2022-09-22,85.38,88.0,87.068,74.9708,,DOWN,0
2022-09-23,83.85,83.785,86.724,75.4894,,DOWN,0
2022-09-26,82.92,83.67,85.436,76.0346,,UP,1
2022-09-27,83.97,83.69,84.68,76.6178,,UP,1
2022-09-28,85.02,84.11,84.228,77.2182,,DOWN,0
2022-09-29,83.04,85.05,83.76,77.7976,,UP,1
2022-09-30,83.19,83.28,83.628,78.3782,,UP,1
2022-10-03,86.59,85.03,84.362,79.03,,UP,1
2022-10-04,89.34,88.3,85.436,79.7176,,DOWN,0
2022-10-05,88.17,87.68,86.066,80.371,,DOWN,0
2022-10-06,86.28,88.23,86.714,80.986,,DOWN,0
2022-10-07,84.39,85.71,86.954,81.382,,UP,1
2022-10-10,84.72,84.95,86.58,81.7544,,DOWN,0
2022-10-11,82.88,84.41,85.288,82.106,,DOWN,0
2022-10-12,82.16,83.11,84.086,82.4324,,UP,1
2022-10-13,83.82,80.56,83.594,82.7654,,DOWN,0
2022-10-14,81.26,84.21,82.968,83.0414,,UP,1
2022-10-17,85.19,83.22,83.062,83.2592,,UP,1
2022-10-18,86.51,86.5,83.788,83.4716,,DOWN,0
2022-10-19,85.69,85.09,84.494,83.671,,DOWN,0
2022-10-20,84.56,86.3699,84.642,83.8198,,UP,1
2022-10-21,87.28,84.7,85.846,83.9888,,UP,1
2022-10-24,87.58,87.568,86.324,84.1104,,UP,1
2022-10-25,88.15,87.5,86.652,84.2494,,UP,1
2022-10-26,88.78,89.68,87.27,84.397,,UP,1
2022-10-27,93.04,89.805,88.966,84.6638,,UP,1
2022-10-28,93.75,92.89,90.26,84.9068,,UP,1
2022-10-31,94.54,94.14,91.652,85.1808,,UP,1
2022-11-01,95.52,95.24,93.126,85.4982,,DOWN,0
2022-11-02,93.09,94.68,93.988,85.765,64.7386,UP,1
2022-11-03,94.41,92.16,94.262,86.0458,65.0006,DOWN,0
2022-11-04,94.32,95.09,94.376,86.2774,65.2472,DOWN,0
2022-11-07,93.5,95.06,94.168,86.5308,65.4897,DOWN,0
2022-11-08,87.54,89.56,92.572,86.6616,65.7134,DOWN,0
2022-11-09,87.35,87.0,91.424,86.8148,65.9407,UP,1
2022-11-10,95.14,90.5,91.57,87.0858,66.2003,DOWN,0
2022-11-11,92.31,95.29,91.168,87.2816,66.4331,UP,1
2022-11-14,93.92,92.0,91.252,87.5386,66.6689,DOWN,0
2022-11-15,93.5,94.51,92.444,87.7634,66.8964,DOWN,0
2022-11-16,91.68,94.31,93.31,87.939,67.1059,DOWN,0
2022-11-17,90.05,90.43,92.292,88.0242,67.2911,UP,1
2022-11-18,93.3,90.12,92.49,88.14,67.4895,UP,1
2022-11-21,93.39,94.07,92.384,88.2452,67.7058,UP,1
2022-11-22,96.27,94.56,92.938,88.443,67.9568,UP,1
2022-11-23,96.62,96.03,93.926,88.6144,68.2124,UP,1
2022-11-25,97.16,96.6,95.348,88.8216,68.4616,DOWN,0
2022-11-28,94.81,96.07,95.65,89.0064,68.7004,DOWN,0
2022-11-29,94.43,94.69,95.858,89.1078,68.9321,UP,1
2022-11-30,96.12,94.14,95.828,89.2752,69.1722,X,X
