ticker,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,CRWD US Equity,Predictions,OneHotPred
2020-09-25,136.39,135.8,137.94,117.1855,81.4317,UP,1
2020-09-28,137.43,137.82,137.8,117.9055,81.8802,DOWN,0
2020-09-29,136.35,137.7,136.534,118.4981,82.3254,UP,1
2020-09-30,137.32,135.31,136.278,119.1125,82.765,UP,1
2020-10-01,142.87,139.5,138.072,119.8957,83.2321,DOWN,0
2020-10-02,139.87,139.73,138.768,120.6639,83.6895,UP,1
2020-10-05,144.88,143.81,140.258,121.5609,84.1632,UP,1
2020-10-06,145.13,146.0,142.014,122.3915,84.6415,DOWN,0
2020-10-07,144.57,146.0,143.464,123.1683,85.1169,DOWN,0
2020-10-08,142.97,146.45,143.484,123.7693,85.5925,UP,1
2020-10-09,143.57,144.1,144.224,124.4025,86.0716,UP,1
2020-10-12,145.96,146.5,144.44,125.0577,86.5512,UP,1
2020-10-13,152.8,147.08,145.974,125.8041,87.0706,DOWN,0
2020-10-14,147.79,153.6,146.618,126.4607,87.5594,DOWN,0
2020-10-15,145.36,143.39,147.096,127.0729,88.0369,DOWN,0
2020-10-16,145.34,148.0,147.45,127.7737,88.5164,DOWN,0
2020-10-19,144.66,146.72,147.19,128.6319,88.9859,DOWN,0
2020-10-20,142.64,145.285,145.158,129.5447,89.4236,DOWN,0
2020-10-21,135.14,143.07,142.628,130.2843,89.8255,DOWN,0
2020-10-22,134.54,136.83,140.464,131.0061,90.2199,UP,1
2020-10-23,135.42,134.91,138.48,131.6967,90.6173,DOWN,0
2020-10-26,133.08,134.01,136.164,132.3333,90.9967,UP,1
2020-10-27,133.48,134.078,134.332,132.8961,91.3693,DOWN,0
2020-10-28,131.57,132.05,133.618,133.3855,91.7309,DOWN,0
2020-10-29,127.36,132.36,132.182,133.7697,92.0665,DOWN,0
2020-10-30,123.84,125.4,129.866,133.9967,92.3745,UP,1
2020-11-02,124.47,124.55,128.144,134.2457,92.6796,UP,1
2020-11-03,126.86,125.71,126.82,134.558,93.0027,UP,1
2020-11-04,136.32,133.98,127.77,135.013,93.3714,UP,1
2020-11-05,138.92,140.485,130.082,135.4492,93.7583,UP,1
2020-11-06,141.79,138.58,133.672,135.9424,94.171,DOWN,0
2020-11-09,126.55,136.25,134.088,136.1006,94.5134,DOWN,0
2020-11-10,123.5,127.08,133.416,136.056,94.8356,UP,1
2020-11-11,130.96,128.1327,132.344,135.8014,95.1891,UP,1
2020-11-12,137.3,132.92,132.02,135.706,95.5633,DOWN,0
2020-11-13,132.18,137.75,130.098,135.7646,95.9188,DOWN,0
2020-11-16,131.58,129.39,131.104,135.8924,96.2713,UP,1
2020-11-17,137.78,132.74,133.96,136.1354,96.6424,DOWN,0
2020-11-18,137.68,137.73,135.304,136.3254,97.0217,UP,1
2020-11-19,143.76,138.39,136.596,136.6136,97.4296,UP,1
2020-11-20,145.72,145.19,139.304,137.0024,97.8477,UP,1
2020-11-23,147.54,146.5,142.496,137.3832,98.2689,UP,1
2020-11-24,149.45,145.7,144.83,137.7432,98.6902,UP,1
2020-11-25,149.96,150.0,147.286,138.1194,99.1146,UP,1
2020-11-27,150.83,150.38,148.7,138.5644,99.5422,UP,1
2020-11-30,153.28,154.55,150.212,139.0014,99.9844,DOWN,0
2020-12-01,147.5,153.5,150.204,139.1888,100.3917,DOWN,0
2020-12-02,141.84,144.36,148.682,139.172,100.7707,UP,1
2020-12-03,161.19,159.52,150.928,139.6238,101.2598,UP,1
2020-12-04,167.26,160.36,154.214,140.291,101.7914,UP,1
2020-12-07,170.72,168.0,157.702,140.9776,102.3546,UP,1
2020-12-08,177.48,171.29,163.698,141.7786,102.9533,DOWN,0
2020-12-09,166.17,175.44,168.564,142.375,103.4919,UP,1
2020-12-10,179.99,165.35,172.324,143.2284,104.1043,DOWN,0
2020-12-11,175.92,177.17,174.056,143.8894,104.6857,DOWN,0
2020-12-14,173.8,176.8115,174.672,144.568,105.2591,UP,1
2020-12-15,174.93,175.4034,174.162,145.169,105.8513,UP,1
2020-12-16,179.79,177.05,176.886,145.8622,106.4643,UP,1
2020-12-17,185.25,182.14,177.938,146.6758,107.1109,UP,1
2020-12-18,203.75,193.7,183.504,147.8914,107.8699,UP,1
2020-12-21,210.65,202.24,190.874,149.233,108.6944,UP,1
2020-12-22,224.9,213.015,200.868,150.8118,109.5844,DOWN,0
2020-12-23,223.5,225.63,209.61,152.2258,110.4876,DOWN,0
2020-12-24,221.12,223.5,216.784,153.6924,111.4041,DOWN,0
2020-12-28,212.55,225.0886,218.544,155.0362,112.2691,DOWN,0
2020-12-29,205.93,210.6,217.6,156.248,113.1337,UP,1
2020-12-30,210.29,207.77,214.678,157.5606,113.9951,UP,1
2020-12-31,211.82,211.47,212.342,158.9442,114.8611,DOWN,0
2021-01-04,200.49,209.96,208.216,160.2512,115.6548,UP,1
2021-01-05,211.24,200.245,207.954,161.7852,116.466,DOWN,0
2021-01-06,208.85,204.0,208.538,163.2538,117.253,UP,1
2021-01-07,221.47,213.025,210.774,165.0216,118.0737,UP,1
2021-01-08,223.73,225.83,213.156,166.8266,118.9134,UP,1
2021-01-11,232.24,223.65,219.506,168.84,119.7814,UP,1
2021-01-12,233.59,233.405,223.976,170.9646,120.6554,DOWN,0
2021-01-13,226.42,236.5,227.49,173.0162,121.4989,DOWN,0
2021-01-14,225.62,228.65,228.32,175.0392,122.3486,DOWN,0
2021-01-15,219.51,228.08,227.476,176.8922,123.1733,UP,1
2021-01-19,221.92,224.0,225.412,178.6042,123.9994,UP,1
2021-01-20,226.33,227.0,223.96,180.3524,124.842,DOWN,0
2021-01-21,221.0,228.0,222.876,181.9366,125.6516,UP,1
2021-01-22,223.52,220.97,222.456,183.876,126.4712,DOWN,0
2021-01-25,217.49,227.72,222.052,185.7558,127.2571,DOWN,0
2021-01-26,206.8,217.13,219.028,187.2726,128.0003,DOWN,0
2021-01-27,200.93,200.0,213.948,188.5452,128.7111,UP,1
2021-01-28,212.49,202.0,212.246,190.1514,129.4691,UP,1
2021-01-29,215.8,211.33,210.702,191.8358,130.239,DOWN,0
2021-02-01,215.01,216.56,210.206,193.3804,130.9968,UP,1
2021-02-02,219.64,218.53,212.774,195.0196,131.7713,DOWN,0
2021-02-03,218.12,223.0,216.212,196.5068,132.5198,UP,1
2021-02-04,224.01,219.74,218.516,198.0726,133.3095,DOWN,0
2021-02-05,223.53,226.0,220.062,199.5924,134.0868,DOWN,0
2021-02-08,222.36,225.5045,221.532,201.0506,134.854,UP,1
2021-02-09,223.72,221.2,222.348,202.5258,135.6126,UP,1
2021-02-10,231.35,225.0,224.994,204.1362,136.4014,UP,1
2021-02-11,234.8,233.49,227.152,205.7666,137.2247,UP,1
2021-02-12,242.1,236.55,230.866,207.6586,138.0888,UP,1
2021-02-16,242.42,248.54,234.878,209.6702,138.9626,DOWN,0
2021-02-17,238.56,238.9,237.846,211.2176,139.8094,UP,1
2021-02-18,239.25,236.7827,239.426,212.6574,140.6385,DOWN,0
2021-02-19,239.2,241.83,240.306,214.027,141.4765,DOWN,0
2021-02-22,225.83,235.6517,237.052,214.994,142.2435,DOWN,0
2021-02-23,218.39,211.2,232.246,216.0384,142.958,DOWN,0
2021-02-24,216.6,219.78,227.854,216.7706,143.6575,DOWN,0
2021-02-25,208.66,216.43,221.736,217.4254,144.3196,UP,1
2021-02-26,216.0,209.3,217.096,218.2694,145.0189,UP,1
2021-03-01,223.4,220.8192,216.61,219.2388,145.753,DOWN,0
2021-03-02,222.1,226.5,217.352,220.085,146.4778,DOWN,0
2021-03-03,210.62,220.8571,216.156,220.5924,147.1452,DOWN,0
2021-03-04,192.99,204.79,213.022,220.3772,147.7297,DOWN,0
2021-03-05,183.12,194.64,206.446,219.8266,148.2525,DOWN,0
2021-03-08,179.75,184.29,197.716,218.9236,148.7464,UP,1
2021-03-09,199.1,192.65,193.116,218.4356,149.3389,DOWN,0
2021-03-10,194.86,204.0,189.964,217.9104,149.9021,UP,1
2021-03-11,205.8,203.99,192.526,217.7754,150.5344,DOWN,0
2021-03-12,199.0,200.9,195.702,217.6368,151.1394,UP,1
2021-03-15,200.55,199.5,199.862,217.442,151.7447,DOWN,0
2021-03-16,196.31,203.81,199.304,217.1318,152.2872,UP,1
2021-03-17,208.03,199.0,201.938,217.2826,152.8531,DOWN,0
2021-03-18,190.21,203.59,198.82,216.862,153.3429,UP,1
2021-03-19,194.63,192.88,197.946,216.5776,153.8256,UP,1
2021-03-22,195.73,191.91,196.982,216.0628,154.3243,DOWN,0
2021-03-23,190.6,195.74,195.84,215.4002,154.8077,DOWN,0
2021-03-24,181.6,191.0,190.554,214.3874,155.2385,DOWN,0
2021-03-25,179.16,175.67,188.344,213.2988,155.6648,DOWN,0
2021-03-26,177.685,179.03,184.955,212.3241,156.0671,DOWN,0
2021-03-29,173.85,177.6898,180.579,211.2887,156.4612,UP,1
2021-03-30,175.28,171.08,177.515,210.4041,156.872,UP,1
2021-03-31,182.51,179.24,177.697,209.6159,157.2894,UP,1
2021-04-01,187.03,188.7665,179.271,208.8299,157.7194,DOWN,0
2021-04-05,186.62,191.43,181.058,208.1423,158.159,UP,1
2021-04-06,194.38,186.62,185.164,207.5595,158.6229,DOWN,0
2021-04-07,193.93,195.07,188.894,207.0883,159.0871,UP,1
2021-04-08,203.45,197.545,193.082,207.0213,159.5793,DOWN,0
2021-04-09,202.68,201.44,196.212,207.0563,160.0713,UP,1
2021-04-12,203.99,201.53,199.686,206.8863,160.5728,UP,1
2021-04-13,216.35,206.52,204.08,206.8973,161.126,DOWN,0
2021-04-14,208.2,216.39,206.934,206.7611,161.673,UP,1
2021-04-15,213.1,215.5,208.864,206.6303,162.248,UP,1
2021-04-16,215.2,213.5065,211.368,206.5719,162.8226,DOWN,0
2021-04-19,213.37,211.05,213.244,206.3591,163.3747,DOWN,0
2021-04-20,206.6,216.09,211.294,206.0205,163.8713,UP,1
2021-04-21,210.37,205.48,211.728,205.7807,164.3912,UP,1
2021-04-22,216.73,212.0,212.454,205.6409,164.9428,UP,1
2021-04-23,219.3,219.51,213.274,205.3999,165.4665,UP,1
2021-04-26,224.47,220.05,215.494,205.1933,166.0016,DOWN,0
2021-04-27,221.25,225.48,218.424,204.7763,166.5246,DOWN,0
2021-04-28,220.24,217.87,220.398,204.3327,167.0947,DOWN,0
2021-04-29,211.53,221.0,219.358,203.7921,167.6243,DOWN,0
2021-04-30,208.51,207.3335,217.2,203.1773,168.1511,DOWN,0
2021-05-03,205.12,209.0,213.33,202.4957,168.6714,DOWN,0
2021-05-04,197.79,201.95,208.638,201.9349,169.1532,DOWN,0
2021-05-05,193.24,202.26,203.238,201.4319,169.5858,DOWN,0
2021-05-06,187.07,191.52,198.346,200.8413,169.9882,UP,1
2021-05-07,189.18,194.28,194.48,200.4517,170.4155,DOWN,0
2021-05-10,187.58,189.18,190.972,199.8833,170.8461,UP,1
2021-05-11,195.1,178.92,190.434,199.3173,171.3215,DOWN,0
2021-05-12,189.27,192.0,189.64,198.6607,171.7498,DOWN,0
2021-05-13,183.76,190.965,188.978,198.1235,172.14,UP,1
2021-05-14,190.64,187.5124,189.27,198.0765,172.5286,DOWN,0
2021-05-17,188.53,189.76,189.46,198.1847,172.9117,UP,1
2021-05-18,196.78,191.33,189.796,198.5253,173.3296,UP,1
2021-05-19,198.71,189.63,191.684,198.5175,173.7457,UP,1
2021-05-20,204.03,201.55,195.738,198.7009,174.1911,UP,1
2021-05-21,210.6,207.84,199.73,198.7969,174.6703,UP,1
2021-05-24,214.35,212.44,204.894,199.1039,175.1906,DOWN,0
2021-05-25,212.86,214.58,208.11,199.3501,175.7461,UP,1
2021-05-26,219.96,217.96,212.36,199.8231,176.3609,UP,1
2021-05-27,222.81,218.0,216.116,200.1187,176.9842,DOWN,0
2021-05-28,222.15,222.85,218.426,200.7575,177.6027,DOWN,0
2021-06-01,222.07,223.23,219.97,201.3063,178.2086,DOWN,0
2021-06-02,220.58,221.35,221.514,201.8033,178.8052,DOWN,0
2021-06-03,216.0,220.05,220.722,202.3113,179.3585,DOWN,0
2021-06-04,206.94,216.99,217.548,202.8181,179.8577,UP,1
2021-06-07,215.41,206.44,216.2,203.5431,180.394,DOWN,0
2021-06-08,215.14,217.735,214.814,204.2922,180.9073,DOWN,0
2021-06-09,213.95,215.69,213.488,205.0942,181.4169,UP,1
2021-06-10,228.6,214.89,216.008,206.1606,182.0037,UP,1
2021-06-11,231.27,226.61,220.874,207.1358,182.5922,UP,1
2021-06-14,233.53,231.5,224.498,208.0658,183.1743,DOWN,0
2021-06-15,228.34,233.75,227.138,208.9002,183.7304,UP,1
2021-06-16,234.17,229.0,231.182,209.696,184.308,UP,1
2021-06-17,241.31,233.0,233.724,210.6436,184.8859,UP,1
2021-06-18,244.91,241.2,236.452,211.4728,185.392,DOWN,0
2021-06-21,237.68,238.04,237.282,212.1728,185.8701,UP,1
2021-06-22,256.61,243.83,242.936,213.2252,186.5069,DOWN,0
2021-06-23,252.9,255.31,246.682,213.9562,187.1454,UP,1
2021-06-24,253.7,255.7715,249.16,214.8662,187.7858,DOWN,0
2021-06-25,253.24,255.0,250.826,215.669,188.4111,UP,1
2021-06-28,255.09,255.0,254.308,216.4668,189.0398,UP,1
2021-06-29,257.12,255.09,254.41,217.3418,189.694,DOWN,0
2021-06-30,251.31,257.1383,254.092,218.236,190.308,DOWN,0
2021-07-01,251.16,251.0,253.584,219.0518,190.9066,UP,1
2021-07-02,252.59,254.2693,253.454,219.769,191.5138,UP,1
2021-07-06,264.98,257.84,255.432,220.6826,192.1958,UP,1
2021-07-07,267.52,268.73,257.512,221.5436,192.8762,DOWN,0
2021-07-08,263.39,259.65,259.928,222.3864,193.5025,UP,1
2021-07-09,264.44,262.955,262.584,223.2704,194.1113,DOWN,0
2021-07-12,261.79,267.6965,264.424,224.2756,194.7273,DOWN,0
2021-07-13,261.16,261.14,263.66,225.3286,195.3636,DOWN,0
2021-07-14,254.23,263.16,261.002,226.3108,195.9528,DOWN,0
2021-07-15,249.3,255.74,258.184,227.341,196.5121,UP,1
2021-07-16,249.96,252.01,255.288,228.4754,197.0802,UP,1
2021-07-19,250.4,245.05,253.01,229.742,197.6456,UP,1
2021-07-20,252.24,254.895,251.226,231.0032,198.1924,UP,1
2021-07-21,253.55,252.45,251.09,232.3226,198.7608,UP,1
2021-07-22,263.04,254.72,253.838,233.6814,199.3516,UP,1
2021-07-23,268.96,261.32,257.638,235.2752,199.9708,DOWN,0
2021-07-26,264.83,267.56,260.524,236.8966,200.5721,DOWN,0
2021-07-27,257.84,266.0,261.644,238.2406,201.1464,UP,1
2021-07-28,263.58,260.18,263.65,239.7416,201.7465,DOWN,0
2021-07-29,260.03,263.51,263.048,241.0066,202.3168,DOWN,0
2021-07-30,253.61,256.07,259.978,242.1046,202.8209,UP,1
2021-08-02,253.91,254.26,257.794,243.1022,203.3515,UP,1
2021-08-03,254.34,255.31,257.094,243.977,203.8964,UP,1
2021-08-04,264.21,255.38,257.22,244.9742,204.4907,UP,1
2021-08-05,265.62,265.31,258.338,246.0294,205.0955,DOWN,0
2021-08-06,260.74,264.3,259.764,246.845,205.686,UP,1
2021-08-09,263.56,258.95,261.694,247.66,206.3281,DOWN,0
2021-08-10,252.67,266.25,261.36,248.2704,206.9188,DOWN,0
2021-08-11,239.88,254.2046,256.494,248.6266,207.4411,UP,1
2021-08-12,245.82,240.0,252.534,249.1314,208.0048,DOWN,0
2021-08-13,243.82,245.82,249.15,249.6878,208.5565,DOWN,0
2021-08-16,234.71,243.33,243.38,250.2432,209.0722,DOWN,0
2021-08-17,232.8,234.0,239.406,250.591,209.5994,UP,1
2021-08-18,233.78,233.475,238.186,250.9638,210.1491,UP,1
2021-08-19,234.96,231.9753,236.014,251.384,210.7015,UP,1
2021-08-20,237.88,236.54,234.826,251.5696,211.2566,UP,1
2021-08-23,245.8,242.1,237.044,251.8602,211.804,UP,1
2021-08-24,265.63,260.57,243.61,252.5022,212.4376,UP,1
2021-08-25,270.0,267.03,250.854,253.3354,213.0786,UP,1
2021-08-26,278.77,269.58,259.616,254.2274,213.8397,UP,1
2021-08-27,282.31,279.545,268.502,255.0474,214.6338,UP,1
2021-08-30,286.37,285.31,276.616,255.8766,215.4108,DOWN,0
2021-08-31,281.0,281.99,279.69,256.743,216.1293,DOWN,0
2021-09-01,269.97,273.22,279.684,257.0102,216.8183,UP,1
2021-09-02,272.67,272.25,278.464,257.4056,217.5237,UP,1
2021-09-03,278.23,272.59,277.648,257.8962,218.226,DOWN,0
2021-09-07,269.68,279.37,274.31,258.225,218.886,DOWN,0
2021-09-08,265.23,270.23,271.156,258.4278,219.4933,DOWN,0
2021-09-09,265.16,265.01,270.194,258.5886,220.0905,DOWN,0
2021-09-10,262.0,268.07,268.06,258.8024,220.6628,DOWN,0
2021-09-13,254.03,258.72,263.22,258.8598,221.1857,UP,1
2021-09-14,257.3,256.04,260.744,258.954,221.7224,UP,1
2021-09-15,259.57,257.89,259.612,258.8458,222.2661,UP,1
2021-09-16,264.74,260.23,259.528,258.7902,222.8234,DOWN,0
2021-09-17,263.09,266.33,259.746,258.7842,223.4014,DOWN,0
2021-09-20,257.56,254.35,260.452,258.6466,223.98,DOWN,0
2021-09-21,254.11,254.65,259.814,258.493,224.4446,UP,1
2021-09-22,259.86,252.89,259.872,258.467,224.9076,UP,1
2021-09-23,262.29,262.49,259.382,258.6282,225.3654,DOWN,0
2021-09-24,261.75,262.05,259.114,258.8772,225.7868,DOWN,0
2021-09-27,253.34,259.3,258.27,258.9448,226.2226,DOWN,0
2021-09-28,241.86,249.05,255.82,258.774,226.532,DOWN,0
2021-09-29,239.57,243.7,251.762,258.5206,226.8502,UP,1
2021-09-30,245.78,240.88,248.46,258.3652,227.2101,UP,1
2021-10-01,249.27,246.6502,245.964,258.0898,227.5818,DOWN,0
2021-10-04,238.88,245.57,243.072,257.4882,227.8773,UP,1
2021-10-05,244.92,240.09,243.684,257.09,228.1756,UP,1
2021-10-06,248.2,243.34,245.41,256.8972,228.3979,UP,1
2021-10-07,249.88,251.3275,246.23,256.6232,228.594,DOWN,0
2021-10-08,245.0,250.1519,245.376,256.3226,228.6945,DOWN,0
2021-10-11,244.36,243.21,246.472,256.1376,228.7988,UP,1
2021-10-12,252.74,246.19,248.036,256.1142,228.9569,UP,1
2021-10-13,270.44,253.81,252.484,256.4362,229.2464,UP,1
2021-10-14,276.01,270.06,257.71,256.6722,229.5968,DOWN,0
2021-10-15,273.11,276.0,263.332,256.822,229.9109,UP,1
2021-10-18,285.35,273.0,271.53,257.3142,230.2785,DOWN,0
2021-10-19,282.35,283.23,277.452,257.69,230.6878,UP,1
2021-10-20,283.33,282.7093,280.03,258.3032,231.0483,UP,1
2021-10-21,284.1,283.0,281.648,259.1876,231.4245,DOWN,0
2021-10-22,283.39,284.23,283.704,259.939,231.7341,DOWN,0
2021-10-25,280.1,284.0,282.654,260.6646,232.016,UP,1
2021-10-26,287.08,284.0,283.6,261.712,232.2902,DOWN,0
2021-10-27,279.0,287.859,282.734,262.636,232.5172,UP,1
