ticker,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-09-18,9.89,10.25,,,,DOWN,0
2020-09-21,9.86,9.9,,,,UP,1
2020-09-22,9.88,9.96,,,,DOWN,0
2020-09-23,9.85,9.9,,,,DOWN,0
2020-09-24,9.77,9.85,9.85,,,UP,1
2020-09-25,9.81,9.77,9.834,,,UP,1
2020-09-28,9.83,9.9,9.828,,,DOWN,0
2020-09-29,9.78,9.88,9.808,,,DOWN,0
2020-09-30,9.78,9.85,9.794,,,DOWN,0
2020-10-01,9.7599,9.85,9.792,,,DOWN,0
2020-10-02,9.74,9.73,9.778,,,DOWN,0
2020-10-05,9.71,9.8,9.754,,,DOWN,0
2020-10-06,9.68,9.74,9.734,,,UP,1
2020-10-07,9.71,9.72,9.72,,,UP,1
2020-10-08,9.7166,9.7,9.7113,,,UP,1
2020-10-09,9.75,9.76,9.7133,,,DOWN,0
2020-10-12,9.73,9.82,9.7173,,,DOWN,0
2020-10-13,9.7,9.85,9.7213,,,DOWN,0
2020-10-14,9.68,9.75,9.7153,,,DOWN,0
2020-10-15,9.68,9.67,9.708,,,DOWN,0
2020-10-16,9.68,9.69,9.694,,,DOWN,0
2020-10-19,9.68,9.71,9.684,,,DOWN,0
2020-10-20,9.67,9.71,9.678,,,DOWN,0
2020-10-21,9.66,9.73,9.674,,,DOWN,0
2020-10-22,9.65,9.66,9.668,,,DOWN,0
2020-10-23,9.63,9.65,9.658,,,UP,1
2020-10-26,9.65,9.65,9.652,,,DOWN,0
2020-10-27,9.65,9.65,9.648,,,DOWN,0
2020-10-28,9.65,9.74,9.646,,,DOWN,0
2020-10-29,9.65,9.66,9.646,,,DOWN,0
2020-10-30,9.63,9.65,9.646,,,DOWN,0
2020-11-02,9.63,9.63,9.642,,,UP,1
2020-11-03,9.69,9.63,9.65,,,DOWN,0
2020-11-04,9.69,9.7,9.658,,,UP,1
2020-11-05,9.77,9.76,9.682,,,DOWN,0
2020-11-06,9.72,9.79,9.7,,,DOWN,0
2020-11-09,9.67,9.7,9.708,,,UP,1
2020-11-10,9.7,9.66,9.71,,,DOWN,0
2020-11-11,9.68,9.69,9.708,,,UP,1
2020-11-12,9.7,9.67,9.694,,,DOWN,0
2020-11-13,9.69,9.74,9.688,,,UP,1
2020-11-16,9.7,9.7,9.694,,,UP,1
2020-11-17,9.71,9.72,9.696,,,UP,1
2020-11-18,9.74,9.74,9.708,,,DOWN,0
2020-11-19,9.72,9.75,9.712,,,DOWN,0
2020-11-20,9.71,9.71,9.716,,,UP,1
2020-11-23,9.75,9.79,9.726,,,UP,1
2020-11-24,9.76,9.78,9.736,,,DOWN,0
2020-11-25,9.76,9.76,9.74,,,UP,1
2020-11-27,9.83,9.8,9.762,9.7225,,UP,1
2020-11-30,9.88,9.88,9.796,9.7223,,DOWN,0
2020-12-01,9.88,9.87,9.822,9.7227,,DOWN,0
2020-12-02,9.87,9.88,9.844,9.7225,,DOWN,0
2020-12-03,9.87,9.88,9.866,9.7229,,UP,1
2020-12-04,9.88,9.88,9.876,9.7251,,UP,1
2020-12-07,9.94,9.88,9.888,9.7277,,DOWN,0
2020-12-08,9.86,9.94,9.884,9.7283,,UP,1
2020-12-09,9.92,9.89,9.894,9.7311,,DOWN,0
2020-12-10,9.91,9.93,9.902,9.7337,,UP,1
2020-12-11,9.94,9.96,9.914,9.7373,,UP,1
2020-12-14,9.98,9.96,9.922,9.7421,,DOWN,0
2020-12-15,9.97,9.97,9.944,9.7473,,DOWN,0
2020-12-16,9.945,9.95,9.949,9.7526,,UP,1
2020-12-17,9.97,9.98,9.961,9.7578,,DOWN,0
2020-12-18,9.96,9.98,9.965,9.7627,,UP,1
2020-12-21,9.97,9.98,9.963,9.7671,,UP,1
2020-12-22,10.0,10.03,9.969,9.7725,,UP,1
2020-12-23,10.03,10.03,9.986,9.7791,,UP,1
2020-12-24,10.04,10.08,10.0,9.7863,,UP,1
2020-12-28,10.08,10.11,10.024,9.7943,,DOWN,0
2020-12-29,10.06,10.1,10.042,9.8019,,UP,1
2020-12-30,10.07,10.04,10.056,9.8097,,DOWN,0
2020-12-31,10.01,10.07,10.052,9.8165,,UP,1
2021-01-04,10.04,10.03,10.052,9.8241,,DOWN,0
2021-01-05,10.02,10.04,10.04,9.8315,,DOWN,0
2021-01-06,10.01,10.0,10.03,9.8391,,UP,1
2021-01-07,10.03,10.0,10.022,9.8467,,DOWN,0
2021-01-08,10.03,10.05,10.026,9.8543,,UP,1
2021-01-11,13.2,10.05,10.658,9.9253,,UP,1
2021-01-12,14.15,14.99,11.484,10.0153,,UP,1
2021-01-13,16.72,15.1,12.826,10.1571,,UP,1
2021-01-14,17.36,18.71,14.292,10.3117,,UP,1
2021-01-15,18.36,17.81,15.958,10.4851,,DOWN,0
2021-01-19,17.9,18.05,16.898,10.6493,,UP,1
2021-01-20,18.06,18.35,17.68,10.8151,,DOWN,0
2021-01-21,17.81,18.09,17.898,10.9769,,UP,1
2021-01-22,22.35,18.49,18.896,11.2305,,UP,1
2021-01-25,24.95,26.77,20.214,11.5355,,DOWN,0
2021-01-26,24.44,24.37,21.522,11.8307,,DOWN,0
2021-01-27,21.15,21.29,22.14,12.0597,,UP,1
2021-01-28,22.33,21.34,23.044,12.3125,,UP,1
2021-01-29,22.88,21.7,23.15,12.5761,,UP,1
2021-02-01,25.2,23.64,23.2,12.8859,,UP,1
2021-02-02,32.14,27.98,24.74,13.3339,,DOWN,0
2021-02-03,29.49,32.35,26.408,13.7293,,UP,1
2021-02-04,30.22,29.0,27.986,14.1395,,UP,1
2021-02-05,34.65,30.9,30.34,14.6375,,DOWN,0
2021-02-08,32.88,34.17,31.876,15.0999,,UP,1
2021-02-09,33.31,31.7,32.11,15.5709,,DOWN,0
2021-02-10,32.87,32.0,32.786,16.0317,,DOWN,0
2021-02-11,31.5,32.25,33.042,16.4641,,UP,1
2021-02-12,39.98,35.04,34.108,17.0661,,UP,1
2021-02-16,52.7,38.27,38.072,17.9227,,UP,1
2021-02-17,56.23,54.67,42.656,18.8499,,UP,1
2021-02-18,58.05,55.81,47.692,19.8133,,DOWN,0
2021-02-19,52.94,60.09,51.98,20.6733,,UP,1
2021-02-22,57.37,62.87,55.458,21.6235,,DOWN,0
2021-02-23,35.21,35.02,51.96,22.1293,,DOWN,0
2021-02-24,28.7,35.64,46.454,22.5051,,DOWN,0
2021-02-25,27.82,29.71,40.408,22.8627,,UP,1
2021-02-26,30.75,31.25,35.97,23.2781,,DOWN,0
2021-03-01,30.63,32.49,30.622,23.6913,,DOWN,0
2021-03-02,27.77,30.0,29.134,24.0478,,DOWN,0
2021-03-03,24.2,27.65,28.234,24.3324,,UP,1
2021-03-04,24.34,23.89,27.538,24.62,,UP,1
2021-03-05,24.4,24.52,26.268,24.9086,,DOWN,0
2021-03-08,22.09,24.34,24.56,25.1504,,UP,1
2021-03-09,24.46,23.26,23.898,25.439,,UP,1
2021-03-10,24.7,25.105,23.998,25.7322,,UP,1
2021-03-11,26.84,25.79,24.498,26.0674,,DOWN,0
2021-03-12,26.77,25.5,24.972,26.4016,,UP,1
2021-03-15,28.69,27.46,26.292,26.774,,UP,1
2021-03-16,31.1,31.06,27.62,27.1958,,DOWN,0
2021-03-17,29.5,29.69,28.58,27.585,,DOWN,0
2021-03-18,26.9,28.8,28.592,27.9226,,DOWN,0
2021-03-19,26.88,26.62,28.614,28.26,,DOWN,0
2021-03-22,26.15,27.48,28.106,28.5824,,DOWN,0
2021-03-23,24.05,26.15,26.696,28.8628,,DOWN,0
2021-03-24,22.56,24.45,25.308,29.05,,UP,1
2021-03-25,24.03,21.71,24.734,29.2476,,DOWN,0
2021-03-26,23.02,23.06,23.962,29.3736,,DOWN,0
2021-03-29,21.35,22.88,23.002,29.4534,,UP,1
2021-03-30,23.51,21.18,22.894,29.5564,,DOWN,0
2021-03-31,23.18,24.06,23.018,29.662,,UP,1
2021-04-01,23.78,24.25,22.968,29.7764,,DOWN,0
2021-04-05,23.0,24.55,22.964,29.8802,,UP,1
2021-04-06,24.46,23.05,23.586,29.9224,,DOWN,0
2021-04-07,22.82,24.11,23.448,29.8798,,UP,1
2021-04-08,23.16,23.06,23.444,29.8542,,DOWN,0
2021-04-09,22.97,22.98,23.282,29.8906,,DOWN,0
2021-04-12,22.03,22.93,23.088,29.8846,,UP,1
2021-04-13,22.09,21.96,22.614,29.8688,,DOWN,0
2021-04-14,21.73,22.02,22.396,29.7994,,DOWN,0
2021-04-15,20.12,21.83,21.788,29.559,,DOWN,0
2021-04-16,19.52,20.07,21.098,29.3596,,UP,1
2021-04-19,19.54,19.87,20.6,29.146,,DOWN,0
2021-04-20,18.45,19.52,19.872,28.822,,UP,1
2021-04-21,19.89,18.3,19.504,28.5622,,DOWN,0
2021-04-22,19.66,20.2,19.412,28.2892,,UP,1
2021-04-23,20.55,19.7,19.618,28.0428,,UP,1
2021-04-26,23.87,20.67,20.484,27.8902,,DOWN,0
2021-04-27,22.74,24.07,21.342,27.5454,,UP,1
2021-04-28,23.04,22.55,21.972,26.9522,,DOWN,0
2021-04-29,22.07,23.29,22.454,26.269,,DOWN,0
2021-04-30,21.09,21.35,22.562,25.5298,,DOWN,0
2021-05-03,19.91,21.19,21.77,24.8692,,DOWN,0
2021-05-04,19.17,19.59,21.056,24.1052,,UP,1
2021-05-05,19.18,19.68,20.284,23.7846,,DOWN,0
2021-05-06,18.96,19.18,19.662,23.5898,,UP,1
2021-05-07,19.28,19.05,19.3,23.419,,DOWN,0
2021-05-10,18.64,19.54,19.046,23.1768,,DOWN,0
2021-05-11,18.6,17.69,18.932,22.9362,,DOWN,0
2021-05-12,17.8,18.25,18.656,22.7368,,DOWN,0
2021-05-13,17.25,17.9,18.314,22.5978,,UP,1
2021-05-14,17.94,17.76,18.046,22.4698,,UP,1
2021-05-17,18.31,18.23,17.98,22.348,,UP,1
2021-05-18,19.38,18.69,18.136,22.2938,,DOWN,0
2021-05-19,18.97,18.91,18.37,22.184,,UP,1
2021-05-20,19.79,19.17,18.878,22.0858,,UP,1
2021-05-21,19.81,20.17,19.252,21.9452,,DOWN,0
2021-05-24,19.4,20.15,19.47,21.7978,,UP,1
2021-05-25,20.28,19.6,19.65,21.6296,,DOWN,0
2021-05-26,19.99,20.25,19.854,21.4074,,DOWN,0
2021-05-27,19.88,20.18,19.872,21.215,,DOWN,0
2021-05-28,19.72,19.55,19.854,21.0714,,UP,1
2021-06-01,21.56,20.0,20.286,20.965,,UP,1
2021-06-02,23.56,22.05,20.942,20.9132,,DOWN,0
2021-06-03,22.96,23.25,21.536,20.8914,,UP,1
2021-06-04,23.95,24.07,22.35,20.9192,,UP,1
2021-06-07,26.5,24.8,23.706,20.9686,,UP,1
2021-06-08,26.64,27.3,24.722,21.041,,DOWN,0
2021-06-09,26.49,26.88,25.308,21.1438,,DOWN,0
2021-06-10,25.38,26.47,25.792,21.1812,,DOWN,0
2021-06-11,25.14,25.6,26.03,21.2204,,DOWN,0
2021-06-14,24.12,25.16,25.554,21.2272,,DOWN,0
2021-06-15,22.61,23.99,24.748,21.2194,,UP,1
2021-06-16,24.04,22.19,24.258,21.211,,DOWN,0
2021-06-17,23.55,23.44,23.892,21.2256,,DOWN,0
2021-06-18,23.4,23.25,23.544,21.2304,,DOWN,0
2021-06-21,22.96,23.7,23.312,21.2302,,UP,1
2021-06-22,23.42,23.02,23.474,21.258,,UP,1
2021-06-23,25.06,23.79,23.678,21.3174,,DOWN,0
2021-06-24,24.85,25.59,23.938,21.3798,,UP,1
2021-06-25,25.18,25.7,24.294,21.481,,UP,1
2021-06-28,27.0,26.23,25.102,21.6306,,DOWN,0
2021-06-29,26.32,27.34,25.682,21.7662,,UP,1
2021-06-30,28.82,26.2,26.434,21.9736,,DOWN,0
2021-07-01,27.72,28.99,27.008,22.1302,,DOWN,0
2021-07-02,27.02,28.12,27.376,22.2774,,DOWN,0
2021-07-06,26.38,27.5,27.252,22.394,19.0478,DOWN,0
2021-07-07,25.52,26.52,27.092,22.427,19.1259,DOWN,0
2021-07-08,24.96,23.99,26.32,22.4714,19.2014,UP,1
2021-07-09,25.55,25.34,25.886,22.5216,19.2798,UP,1
2021-07-12,26.85,25.91,25.852,22.6172,19.3648,DOWN,0
2021-07-13,25.91,26.53,25.758,22.7136,19.4455,DOWN,0
2021-07-14,23.79,25.4,25.412,22.7912,19.5154,DOWN,0
2021-07-15,22.96,24.0,25.012,22.867,19.581,DOWN,0
2021-07-16,22.79,23.4,24.46,22.9392,19.6461,DOWN,0
2021-07-19,22.2,21.99,23.53,23.004,19.7082,UP,1
2021-07-20,24.28,22.81,23.204,23.104,19.7808,DOWN,0
2021-07-21,23.43,24.48,23.132,23.1998,19.8492,DOWN,0
2021-07-22,22.9,23.33,23.12,23.2858,19.9152,UP,1
2021-07-23,24.25,24.02,23.412,23.4148,19.988,UP,1
2021-07-26,26.83,25.24,24.338,23.6064,20.0736,DOWN,0
2021-07-27,25.18,27.49,24.518,23.7512,20.1509,DOWN,0
2021-07-28,24.08,25.7136,24.648,23.8666,20.2226,DOWN,0
2021-07-29,23.35,24.54,24.738,23.946,20.2907,UP,1
2021-07-30,23.72,22.9482,24.632,24.041,20.3608,UP,1
2021-08-02,23.77,24.1934,24.02,24.1206,20.4312,DOWN,0
2021-08-03,23.58,23.93,23.7,24.196,20.5007,DOWN,0
2021-08-04,22.63,23.48,23.41,24.2606,20.5655,UP,1
2021-08-05,22.75,22.92,23.29,24.31,20.6308,UP,1
2021-08-06,23.38,22.935,23.222,24.3778,20.6994,UP,1
2021-08-09,23.5,23.4,23.168,24.4502,20.7686,UP,1
2021-08-10,24.46,23.88,23.344,24.545,20.8426,UP,1
2021-08-11,24.47,24.97,23.712,24.6032,20.9168,DOWN,0
2021-08-12,23.85,24.31,23.932,24.609,20.9878,DOWN,0
2021-08-13,23.48,23.71,23.952,24.6194,21.057,DOWN,0
2021-08-16,22.83,23.045,23.818,24.597,21.1229,DOWN,0
2021-08-17,22.56,22.24,23.438,24.5182,21.1874,DOWN,0
2021-08-18,22.55,22.93,23.054,24.4364,21.252,DOWN,0
2021-08-19,21.71,22.18,22.626,24.3408,21.3124,DOWN,0
2021-08-20,21.67,21.7508,22.264,24.2666,21.3723,DOWN,0
2021-08-23,21.65,22.01,22.028,24.1968,21.4321,UP,1
2021-08-24,22.83,21.94,22.082,24.171,21.4974,DOWN,0
2021-08-25,21.81,22.25,21.934,24.155,21.5579,DOWN,0
2021-08-26,21.48,21.84,21.888,24.1038,21.6169,DOWN,0
2021-08-27,21.03,21.45,21.76,24.0534,21.6736,DOWN,0
2021-08-30,20.63,20.85,21.556,23.998,21.7283,DOWN,0
2021-08-31,19.96,20.28,20.982,23.938,21.7796,DOWN,0
2021-09-01,17.79,16.12,20.178,23.8254,21.8201,UP,1
2021-09-02,18.66,18.44,19.614,23.6974,21.8649,UP,1
2021-09-03,19.56,18.835,19.32,23.5916,21.9142,UP,1
2021-09-07,19.89,19.8,19.172,23.4858,21.9649,DOWN,0
2021-09-08,18.93,19.93,18.966,23.3244,22.011,UP,1
2021-09-09,19.85,19.22,19.378,23.195,22.0617,UP,1
2021-09-10,19.93,20.1831,19.632,23.0172,22.1126,UP,1
2021-09-13,20.06,20.265,19.732,22.864,22.1641,DOWN,0
2021-09-14,18.95,19.19,19.544,22.7026,22.21,UP,1
2021-09-15,19.91,19.37,19.74,22.5732,22.2604,UP,1
2021-09-16,21.17,20.845,20.004,22.4862,22.3169,UP,1
2021-09-17,22.96,22.42,20.61,22.4462,22.3823,UP,1
2021-09-20,24.07,22.025,21.412,22.4166,22.4533,UP,1
2021-09-21,26.81,24.78,22.984,22.4158,22.538,DOWN,0
2021-09-22,24.95,27.735,23.992,22.3966,22.6133,UP,1
2021-09-23,25.42,25.57,24.842,22.4292,22.6907,UP,1
2021-09-24,25.43,25.26,25.336,22.4786,22.7686,UP,1
2021-09-27,25.89,25.86,25.7,22.5406,22.8484,DOWN,0
2021-09-28,24.54,25.97,25.246,22.5874,22.9216,UP,1
2021-09-29,26.28,26.45,25.512,22.6274,23.0033,DOWN,0
2021-09-30,25.38,27.1217,25.504,22.6664,23.0803,DOWN,0
2021-10-01,24.61,25.51,25.34,22.7006,23.1535,DOWN,0
2021-10-04,24.14,24.76,24.99,22.6984,23.2245,DOWN,0
2021-10-05,24.02,24.18,24.886,22.6422,23.2947,UP,1
2021-10-06,24.29,23.55,24.488,22.6244,23.3664,UP,1
2021-10-07,24.38,24.55,24.288,22.6304,23.4384,DOWN,0
2021-10-08,23.23,24.32,24.012,22.628,23.5046,DOWN,0
2021-10-11,22.87,23.63,23.758,22.611,23.5688,UP,1
2021-10-12,23.06,23.14,23.566,22.5968,23.6339,DOWN,0
2021-10-13,22.59,22.85,23.226,22.577,23.6964,UP,1
2021-10-14,24.01,22.51,23.152,22.6046,23.7662,UP,1
2021-10-15,24.08,23.84,23.322,22.6312,23.8362,UP,1
2021-10-18,25.34,23.99,23.816,22.6704,23.9129,DOWN,0
2021-10-19,24.73,25.41,24.15,22.695,23.9863,DOWN,0
2021-10-20,24.24,24.76,24.48,22.6906,24.0574,UP,1
2021-10-21,24.46,24.3,24.57,22.6904,24.1297,DOWN,0
2021-10-22,24.11,24.03,24.576,22.6956,24.2001,UP,1
2021-10-25,26.85,24.88,24.878,22.763,24.2842,DOWN,0
2021-10-26,26.38,26.85,25.208,22.834,24.3501,UP,1
2021-10-27,27.02,27.69,25.764,22.9232,24.4144,UP,1
2021-10-28,35.48,28.54,27.968,23.1818,24.5082,UP,1
2021-10-29,36.99,38.25,30.544,23.4874,24.6064,DOWN,0
2021-11-01,36.53,39.995,32.48,23.7846,24.6972,DOWN,0
2021-11-02,35.13,34.565,34.23,24.0542,24.7834,UP,1
2021-11-03,36.545,34.23,36.135,24.3285,24.8758,UP,1
2021-11-04,37.12,37.38,36.463,24.6347,24.9723,UP,1
2021-11-05,41.8,37.5,37.425,25.0411,25.0696,UP,1
2021-11-08,45.92,43.54,39.303,25.5389,25.1744,DOWN,0
2021-11-09,44.78,47.48,41.233,26.0219,25.2761,DOWN,0
2021-11-10,40.75,42.3,42.074,26.4377,25.3741,UP,1
2021-11-11,44.98,42.75,43.646,26.9815,25.4874,DOWN,0
2021-11-12,43.93,44.0,44.072,27.4869,25.5926,UP,1
2021-11-15,44.88,44.6,43.864,27.9933,25.691,UP,1
2021-11-16,55.52,49.93,46.012,28.7059,25.8079,DOWN,0
2021-11-17,52.55,56.2,48.372,29.3783,25.9232,DOWN,0
