ticker,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,Predictions,OneHotPred
2020-09-18,129.1,128.23,130.022,130.1398,83.7552,UP,1
2020-09-21,134.93,127.69,130.988,130.3286,84.1806,UP,1
2020-09-22,137.99,135.05,132.058,130.6902,84.63,DOWN,0
2020-09-23,135.61,137.0,132.968,130.9538,85.0745,DOWN,0
2020-09-24,134.56,134.97,134.438,131.2482,85.5108,UP,1
2020-09-25,138.27,135.04,136.272,131.6706,85.9715,UP,1
2020-09-28,138.42,139.08,136.97,132.0328,86.4376,UP,1
2020-09-29,140.49,138.79,137.47,132.2906,86.9141,UP,1
2020-09-30,140.69,139.47,138.486,132.595,87.3877,UP,1
2020-10-01,144.295,142.2,140.433,132.9787,87.8743,DOWN,0
2020-10-02,142.05,141.42,141.189,133.3505,88.352,UP,1
2020-10-05,145.31,143.01,142.567,133.8223,88.8423,UP,1
2020-10-06,145.51,145.0,143.571,134.2351,89.3303,UP,1
2020-10-07,147.68,147.16,144.969,134.7011,89.8231,DOWN,0
2020-10-08,147.66,149.35,145.642,135.1149,90.3205,UP,1
2020-10-09,151.96,148.0,147.624,135.5683,90.8416,DOWN,0
2020-10-12,151.15,153.0,148.792,135.9943,91.3566,UP,1
2020-10-13,154.42,153.1,150.574,136.4311,91.8906,UP,1
2020-10-14,155.09,155.52,152.056,136.8831,92.4336,DOWN,0
2020-10-15,154.97,152.41,153.518,137.2919,92.9759,DOWN,0
2020-10-16,154.85,155.66,154.096,137.7433,93.5135,DOWN,0
2020-10-19,153.17,156.0,154.5,138.2897,94.0425,DOWN,0
2020-10-20,150.8,153.0,153.776,138.8579,94.553,DOWN,0
2020-10-21,146.85,151.97,152.128,139.4447,95.0452,DOWN,0
2020-10-22,146.58,147.79,150.45,139.9895,95.5244,UP,1
2020-10-23,147.05,145.7,148.89,140.4891,95.9896,UP,1
2020-10-26,149.0,148.27,148.056,141.0113,96.4596,DOWN,0
2020-10-27,148.64,151.54,147.624,141.4943,96.9047,DOWN,0
2020-10-28,144.06,147.49,147.066,141.8161,97.3273,DOWN,0
2020-10-29,142.56,145.38,146.262,142.1021,97.7402,DOWN,0
2020-10-30,135.75,140.76,144.002,142.0887,98.1098,DOWN,0
2020-11-02,134.43,136.75,141.088,142.0729,98.4848,UP,1
2020-11-03,134.65,135.02,138.29,142.0511,98.8555,UP,1
2020-11-04,145.35,139.99,138.548,142.2455,99.2827,UP,1
2020-11-05,150.07,148.55,140.05,142.4469,99.7365,DOWN,0
2020-11-06,150.06,151.0,142.912,142.6729,100.1978,DOWN,0
2020-11-09,128.77,145.62,141.78,142.4257,100.5614,DOWN,0
2020-11-10,127.76,132.23,140.402,142.1141,100.9177,UP,1
2020-11-11,135.49,133.04,138.43,141.6367,101.3095,UP,1
2020-11-12,140.06,137.62,136.428,141.2675,101.7214,DOWN,0
2020-11-13,131.92,140.04,132.8,141.0369,102.1005,UP,1
2020-11-16,133.52,128.99,133.75,141.0205,102.484,UP,1
2020-11-17,136.64,135.08,135.526,141.0899,102.8728,DOWN,0
2020-11-18,135.38,136.99,135.504,141.1137,103.2572,UP,1
2020-11-19,138.54,136.15,135.2,141.2323,103.6579,UP,1
2020-11-20,143.01,139.99,137.418,141.5225,104.0781,UP,1
2020-11-23,143.04,142.39,139.322,141.7813,104.4891,DOWN,0
2020-11-24,141.19,143.4,140.232,141.9523,104.8904,UP,1
2020-11-25,146.94,145.11,142.544,142.2699,105.3227,UP,1
2020-11-27,149.74,150.0,144.784,142.7205,105.7619,UP,1
2020-11-30,155.75,151.68,147.332,143.2535,106.2301,DOWN,0
2020-12-01,151.68,155.51,149.06,143.5885,106.6692,DOWN,0
2020-12-02,146.79,149.0332,150.18,143.7645,107.0773,UP,1
2020-12-03,185.61,163.45,157.914,144.7645,107.6795,DOWN,0
2020-12-04,180.75,181.73,164.116,145.6883,108.3107,DOWN,0
2020-12-07,178.11,180.0,168.588,146.4851,108.9419,UP,1
2020-12-08,184.6,178.5,175.172,147.4087,109.6129,DOWN,0
2020-12-09,176.7,183.03,181.154,148.1329,110.2397,UP,1
2020-12-10,179.75,173.0,179.982,148.9141,110.8898,UP,1
2020-12-11,181.91,181.6,180.214,149.6664,111.5394,UP,1
2020-12-14,183.45,182.344,181.282,150.4944,112.1927,DOWN,0
2020-12-15,181.24,184.98,180.61,151.213,112.8423,UP,1
2020-12-16,184.03,180.92,182.076,151.9834,113.4955,UP,1
2020-12-17,187.76,186.0,183.678,152.785,114.1675,UP,1
2020-12-18,195.88,191.98,186.472,153.7494,114.8999,UP,1
2020-12-21,199.62,196.65,189.706,154.7026,115.6783,UP,1
2020-12-22,206.78,202.23,194.814,155.8152,116.4772,UP,1
2020-12-23,207.47,208.83,199.502,156.8762,117.3001,DOWN,0
2020-12-24,205.27,208.0,203.004,157.8798,118.129,DOWN,0
2020-12-28,199.37,207.48,203.702,158.7678,118.9164,DOWN,0
2020-12-29,197.84,198.51,203.346,159.6276,119.6965,UP,1
2020-12-30,201.31,198.8,202.252,160.5904,120.4687,DOWN,0
2020-12-31,199.71,202.25,200.7,161.5686,121.2164,DOWN,0
2021-01-04,196.09,199.72,198.864,162.5534,121.9379,DOWN,0
2021-01-05,193.48,192.37,197.686,163.4914,122.6371,DOWN,0
2021-01-06,184.42,187.53,195.002,164.2388,123.269,UP,1
2021-01-07,193.05,188.0953,193.35,165.1198,123.9236,UP,1
2021-01-08,197.37,196.75,192.882,166.0944,124.6148,UP,1
2021-01-11,198.7,196.99,193.404,167.1872,125.3055,UP,1
2021-01-12,205.9,201.14,195.888,168.454,126.0419,UP,1
2021-01-13,207.08,209.3,200.42,169.8806,126.7831,UP,1
2021-01-14,209.87,209.25,203.784,171.3894,127.5281,UP,1
2021-01-15,211.06,212.12,206.522,172.9176,128.2735,UP,1
2021-01-19,212.0,215.77,209.182,174.2506,129.0276,UP,1
2021-01-20,214.76,215.09,210.954,175.5444,129.7844,DOWN,0
2021-01-21,213.63,217.99,212.264,176.8158,130.536,UP,1
2021-01-22,217.36,211.9,213.762,178.5876,131.311,DOWN,0
2021-01-25,207.66,220.76,213.082,180.1856,132.0246,DOWN,0
2021-01-26,197.0,209.48,210.082,181.4158,132.6967,UP,1
2021-01-27,199.22,195.87,206.974,182.599,133.3819,UP,1
2021-01-28,206.28,199.33,205.504,184.0862,134.0809,DOWN,0
2021-01-29,199.7,204.99,201.972,185.4098,134.7296,UP,1
2021-02-01,204.47,202.52,201.334,186.7664,135.4001,UP,1
2021-02-02,216.71,207.06,205.276,188.393,136.1437,DOWN,0
2021-02-03,209.56,217.9,207.344,189.8134,136.8389,UP,1
2021-02-04,213.75,210.11,208.838,191.2282,137.5818,UP,1
2021-02-05,216.78,215.45,212.254,192.703,138.3311,DOWN,0
2021-02-08,215.87,219.31,214.534,194.1966,139.0793,UP,1
2021-02-09,220.0,218.5764,215.192,195.6578,139.8418,UP,1
2021-02-10,223.09,221.0,217.898,197.1248,140.6049,DOWN,0
2021-02-11,222.89,225.0,219.726,198.4676,141.3857,UP,1
2021-02-12,226.48,224.76,221.666,199.9636,142.185,DOWN,0
2021-02-16,223.63,230.8808,223.218,201.5004,142.9677,UP,1
2021-02-17,224.83,223.155,224.184,202.2848,143.7576,DOWN,0
2021-02-18,223.38,222.06,224.242,203.1374,144.5291,UP,1
2021-02-19,226.03,225.55,224.87,204.0958,145.3031,DOWN,0
2021-02-22,213.45,225.13,222.264,204.6728,146.0077,DOWN,0
2021-02-23,206.51,203.26,218.84,205.269,146.6658,UP,1
2021-02-24,207.81,208.38,215.436,205.8302,147.3348,DOWN,0
2021-02-25,195.79,204.0,209.918,206.1078,147.9289,UP,1
2021-02-26,205.03,213.1,205.718,206.5394,148.5718,UP,1
2021-03-01,210.16,208.75,205.06,207.1178,149.2468,DOWN,0
2021-03-02,202.61,212.0,204.28,207.4894,149.8818,DOWN,0
2021-03-03,187.83,202.11,200.284,207.4908,150.439,DOWN,0
2021-03-04,180.9,184.33,197.306,207.1912,150.9744,DOWN,0
2021-03-05,175.37,185.54,191.374,206.7062,151.4751,DOWN,0
2021-03-08,167.84,175.76,182.91,205.9274,151.929,UP,1
2021-03-09,181.43,178.715,178.674,205.4066,152.458,DOWN,0
2021-03-10,180.07,185.05,177.122,204.9026,152.9736,UP,1
2021-03-11,188.87,187.0,178.716,204.6926,153.5354,DOWN,0
2021-03-12,184.61,184.5411,180.564,204.428,154.0858,DOWN,0
2021-03-15,184.27,184.98,183.85,204.0872,154.6281,DOWN,0
2021-03-16,182.18,187.0,184.0,203.7366,155.0486,UP,1
2021-03-17,185.33,178.61,185.052,203.5214,155.4253,DOWN,0
2021-03-18,178.21,184.4039,182.92,203.216,155.7855,UP,1
2021-03-19,181.56,178.66,182.31,203.1588,156.1563,UP,1
2021-03-22,182.61,183.5,181.978,202.95,156.5541,UP,1
2021-03-23,183.0,182.46,182.142,202.6626,156.9725,DOWN,0
2021-03-24,175.1,186.4,180.096,202.1906,157.3343,DOWN,0
2021-03-25,172.85,171.45,179.024,201.5296,157.6806,DOWN,0
2021-03-26,169.78,170.92,176.668,200.7836,158.0009,DOWN,0
2021-03-29,165.75,169.01,173.296,199.9012,158.3163,UP,1
2021-03-30,165.79,164.24,169.854,198.9958,158.6329,UP,1
2021-03-31,171.67,168.49,169.168,198.1892,158.9686,UP,1
2021-04-01,175.77,174.8,169.752,197.4094,159.3334,DOWN,0
2021-04-05,175.19,176.61,170.834,196.6406,159.6785,UP,1
2021-04-06,182.12,175.43,174.108,195.9358,160.0238,DOWN,0
2021-04-07,180.02,180.81,176.954,195.383,160.3811,UP,1
2021-04-08,185.19,183.0,179.658,195.1468,160.7587,DOWN,0
2021-04-09,185.04,183.99,181.512,194.8632,161.1323,UP,1
2021-04-12,188.38,185.58,184.15,194.5052,161.5329,UP,1
2021-04-13,196.65,190.15,187.056,194.4442,161.9581,DOWN,0
2021-04-14,192.39,198.04,189.53,194.2026,162.3901,UP,1
2021-04-15,195.92,195.31,191.676,193.7868,162.8427,DOWN,0
2021-04-16,192.49,196.81,193.166,193.4454,163.2577,DOWN,0
2021-04-19,190.94,191.14,193.678,192.9892,163.6548,DOWN,0
2021-04-20,186.08,191.99,191.564,192.3752,164.0342,UP,1
2021-04-21,186.12,183.71,190.31,191.7802,164.3909,UP,1
2021-04-22,190.03,186.19,189.132,191.1808,164.7718,UP,1
2021-04-23,190.26,192.48,188.686,190.5242,165.1189,UP,1
2021-04-26,196.69,191.7,189.836,190.0002,165.4653,DOWN,0
2021-04-27,195.93,198.08,191.806,189.3892,165.8175,DOWN,0
2021-04-28,195.42,195.4,193.666,188.825,166.195,DOWN,0
2021-04-29,187.28,196.0,193.116,188.074,166.5193,UP,1
2021-04-30,187.64,184.99,192.592,187.3592,166.8583,DOWN,0
2021-05-03,180.59,186.6,189.372,186.4504,167.1755,DOWN,0
2021-05-04,175.48,176.47,185.282,185.691,167.4513,DOWN,0
2021-05-05,172.3,178.03,180.658,185.0068,167.6748,DOWN,0
2021-05-06,167.35,171.46,176.672,184.1976,167.8842,UP,1
2021-05-07,169.32,171.5,173.008,183.6682,168.1053,DOWN,0
2021-05-10,165.77,168.16,170.044,182.883,168.3168,UP,1
2021-05-11,170.69,157.0786,169.086,182.0936,168.5617,DOWN,0
2021-05-12,164.08,167.47,167.442,181.323,168.7577,DOWN,0
2021-05-13,160.92,166.26,166.156,180.7848,168.9404,UP,1
2021-05-14,165.34,162.52,165.36,180.4736,169.1323,DOWN,0
2021-05-17,163.28,164.1,164.862,180.2318,169.3022,UP,1
2021-05-18,166.5,164.51,164.024,180.205,169.4855,DOWN,0
2021-05-19,164.81,164.35,164.17,179.8726,169.6466,UP,1
2021-05-20,170.73,167.2592,166.132,179.6858,169.8378,DOWN,0
2021-05-21,170.08,174.92,167.08,179.31,170.0156,UP,1
2021-05-24,174.4,172.49,169.304,179.1058,170.2262,DOWN,0
2021-05-25,172.74,175.05,170.552,178.8752,170.4606,UP,1
2021-05-26,194.2,195.0,176.43,179.1156,170.8197,UP,1
2021-05-27,194.26,193.6,181.136,179.2942,171.2034,DOWN,0
2021-05-28,194.2,194.48,185.96,179.614,171.5777,DOWN,0
2021-06-01,191.77,194.17,189.434,179.8182,171.9262,DOWN,0
2021-06-02,191.34,190.56,193.154,179.9928,172.2685,DOWN,0
2021-06-03,184.25,190.12,191.164,180.0178,172.5673,UP,1
2021-06-04,185.8,186.8267,189.472,180.2318,172.8564,UP,1
2021-06-07,192.73,184.81,189.178,180.6294,173.1788,UP,1
2021-06-08,194.65,194.04,189.754,181.1268,173.4699,UP,1
2021-06-09,195.99,195.27,190.684,181.7316,173.7738,UP,1
2021-06-10,204.91,194.775,194.816,182.514,174.1196,UP,1
2021-06-11,207.79,203.0,199.214,183.2364,174.4804,UP,1
2021-06-14,211.43,207.79,202.954,183.9496,174.8376,DOWN,0
2021-06-15,207.39,209.62,205.502,184.5936,175.1807,UP,1
2021-06-16,212.27,209.1122,208.758,185.1966,175.5364,UP,1
2021-06-17,215.14,209.01,210.804,185.899,175.8954,UP,1
2021-06-18,218.6,215.57,212.966,186.5672,176.1916,DOWN,0
2021-06-21,216.41,216.55,213.962,187.1946,176.4811,UP,1
2021-06-22,219.61,216.66,216.406,187.8192,176.8619,DOWN,0
2021-06-23,218.86,219.55,217.724,188.2634,177.2845,UP,1
2021-06-24,219.64,220.19,218.624,188.8084,177.7168,DOWN,0
2021-06-25,218.84,220.91,218.672,189.2668,178.1401,UP,1
2021-06-28,221.27,220.56,219.644,189.8424,178.5834,UP,1
2021-06-29,221.44,220.0,220.01,190.4524,179.0481,DOWN,0
2021-06-30,216.06,220.8,219.45,191.052,179.4779,DOWN,0
2021-07-01,213.72,214.98,218.266,191.604,179.8833,UP,1
2021-07-02,214.78,215.34,217.454,192.099,180.3019,UP,1
2021-07-06,225.0,217.0654,218.2,192.7938,180.7908,UP,1
2021-07-07,227.9,227.0,219.492,193.418,181.2848,DOWN,0
2021-07-08,227.17,222.02,221.714,194.0428,181.746,UP,1
2021-07-09,227.79,227.17,224.528,194.6902,182.195,UP,1
2021-07-12,227.97,232.52,227.166,195.504,182.6568,DOWN,0
2021-07-13,227.18,230.0,227.602,196.2948,183.1199,DOWN,0
2021-07-14,224.51,229.91,226.924,197.1732,183.5511,DOWN,0
2021-07-15,219.31,227.15,225.352,198.0498,183.9556,UP,1
2021-07-16,221.16,221.74,224.026,199.027,184.3589,UP,1
2021-07-19,223.01,217.5,223.034,200.1402,184.7705,UP,1
2021-07-20,229.11,227.08,223.42,201.336,185.1946,UP,1
2021-07-21,231.06,228.88,224.73,202.6418,185.6397,UP,1
2021-07-22,235.59,232.0,227.986,203.9398,186.0911,UP,1
2021-07-23,238.72,237.14,231.498,205.4326,186.5571,DOWN,0
2021-07-26,234.52,235.73,233.8,206.9046,186.9913,DOWN,0
2021-07-27,233.03,236.2,234.584,208.2584,187.4182,UP,1
2021-07-28,236.84,234.61,235.74,209.7296,187.8426,UP,1
2021-07-29,237.03,235.015,236.028,211.1402,188.272,DOWN,0
2021-07-30,235.91,235.97,235.466,212.5622,188.6794,UP,1
2021-08-02,239.04,237.0,236.37,213.9284,189.0992,UP,1
2021-08-03,243.07,239.51,238.378,215.3882,189.5397,UP,1
2021-08-04,247.93,243.63,240.596,216.8588,190.0051,DOWN,0
2021-08-05,247.67,248.0,242.724,218.3574,190.4776,DOWN,0
2021-08-06,242.05,247.0,243.952,219.3144,190.9338,UP,1
2021-08-09,245.04,241.5,245.152,220.33,191.4248,DOWN,0
2021-08-10,240.5,246.71,244.638,221.256,191.8944,DOWN,0
2021-08-11,237.67,241.5789,242.586,222.174,192.3475,UP,1
2021-08-12,242.94,235.18,241.64,223.206,192.8172,UP,1
2021-08-13,245.15,244.0,242.26,224.424,193.2997,DOWN,0
2021-08-16,243.43,244.0,241.938,225.5766,193.7966,DOWN,0
2021-08-17,241.47,243.43,242.132,226.5514,194.2911,UP,1
2021-08-18,242.54,242.15,243.106,227.5092,194.8251,UP,1
2021-08-19,244.88,242.0,243.494,228.487,195.3773,UP,1
2021-08-20,246.4,246.65,243.744,229.3168,195.9361,UP,1
2021-08-23,250.81,248.99,245.22,230.1772,196.4634,UP,1
2021-08-24,257.97,258.9742,248.52,231.108,197.0029,UP,1
2021-08-25,263.03,258.35,252.618,232.2208,197.5677,UP,1
2021-08-26,266.97,263.0,257.036,233.3148,198.2587,UP,1
2021-08-27,273.73,268.6677,262.502,234.4866,198.9886,UP,1
2021-08-30,278.17,275.65,267.974,235.678,199.702,UP,1
2021-08-31,278.34,276.76,272.048,236.9166,200.3934,DOWN,0
2021-09-01,276.71,276.14,274.784,238.0586,201.1173,UP,1
2021-09-02,282.2,277.11,277.83,239.3254,201.8607,UP,1
2021-09-03,287.4,282.55,280.564,240.6806,202.6145,DOWN,0
2021-09-07,282.905,293.44,281.511,241.9619,203.3521,DOWN,0
2021-09-08,280.66,282.255,281.975,243.1497,204.0627,DOWN,0
2021-09-09,280.22,280.42,282.677,244.3253,204.7488,DOWN,0
2021-09-10,270.64,289.03,280.365,245.4169,205.3868,DOWN,0
2021-09-13,267.84,267.6,276.453,246.4993,206.02,UP,1
2021-09-14,275.8,269.94,275.032,247.7197,206.6643,DOWN,0
2021-09-15,273.44,275.87,273.588,248.6885,207.2828,UP,1
2021-09-16,274.39,273.25,272.422,249.6183,207.876,UP,1
2021-09-17,275.66,273.33,273.426,250.5881,208.4959,DOWN,0
2021-09-20,269.98,268.0028,273.854,251.4319,209.1119,UP,1
2021-09-21,272.33,272.23,273.16,252.3191,209.5455,UP,1
2021-09-22,277.7,273.96,274.012,253.3295,210.0302,UP,1
2021-09-23,280.02,279.94,275.138,254.4397,210.5398,DOWN,0
2021-09-24,279.99,280.0,276.004,255.6533,211.0167,DOWN,0
2021-09-27,272.73,277.7,276.554,256.6847,211.4969,DOWN,0
2021-09-28,258.74,267.99,273.836,257.3993,211.8918,UP,1
2021-09-29,258.88,263.41,270.072,257.9947,212.2767,UP,1
2021-09-30,262.22,260.41,266.512,258.6179,212.6705,UP,1
2021-10-01,263.16,263.17,263.146,259.1693,213.0801,DOWN,0
2021-10-04,251.86,261.35,258.972,259.4321,213.4193,UP,1
2021-10-05,258.5,253.45,258.924,259.9117,213.773,UP,1
2021-10-06,264.25,256.28,259.998,260.5361,214.1148,UP,1
2021-10-07,269.88,266.02,261.53,261.1969,214.4661,DOWN,0
2021-10-08,266.66,272.3,262.23,261.7895,214.7655,UP,1
2021-10-11,267.7,263.6,265.398,262.4253,215.0667,UP,1
2021-10-12,277.72,270.08,269.242,263.1989,215.4289,UP,1
2021-10-13,286.64,279.78,273.72,264.0703,215.8653,UP,1
2021-10-14,293.89,290.0,278.522,264.9895,216.3455,DOWN,0
2021-10-15,292.7,294.5,283.73,265.8901,216.8025,UP,1
2021-10-18,301.31,292.51,290.452,267.0753,217.3105,DOWN,0
2021-10-19,298.03,301.5,294.514,268.1351,217.8202,DOWN,0
2021-10-20,297.67,300.2082,296.72,269.2785,218.3411,UP,1
2021-10-21,305.69,298.7,299.08,270.6389,218.9475,UP,1
2021-10-22,307.87,305.73,302.114,271.9375,219.5216,UP,1
